year,language,num_projects,num_commits,num_users,num_pull_req,num_pending_issues
2015,julia,7666,143654,2589,11074,14326
2018,pascal,13687,79529,3445,1938,3766
2007,javascript,,48053,916,,
2011,javascript,107971,1064913,43322,22544,39160
2018,actionscript,2626,19167,995,909,1429
2008,viml,294,4526,324,,
2015,coldfusion,12780,34276,1044,2218,2504
2016,kotlin,8726,104257,5281,4715,6372
2009,c++,3921,981878,14091,,255
2010,ruby,61061,427828,15621,4367,25741
2013,perl,33428,598441,22834,16759,24990
2014,batchfile,468,15309,981,512,664
2016,elixir,16721,175464,7049,13008,17430
2019,c++,446632,3494941,204831,190210,324787
2011,viml,10112,129266,8268,963,1626
2013,rust,2338,56652,981,5102,6608
2008,lua,203,17690,397,,
2009,batchfile,1,394,31,,
2011,scala,4653,73405,2159,1482,2142
2012,c++,68524,2402196,65340,33135,44164
2013,ruby,459579,4791305,164792,217090,261147
2016,java,1275556,12716012,608468,574925,743002
2010,lua,1425,34292,924,25,220
2016,objective-c,221170,1035794,76598,54023,80810
2007,powershell,,43,2,,
2009,css,316,13987,775,,20
2009,coldfusion,42,2356,73,,3
2012,batchfile,52,1978,241,159,66
2012,typescript,205,14840,745,339,594
2013,java,511860,6852875,260960,179014,296183
2008,go,7,5522,24,,
2011,lua,2256,55488,1691,200,554
2015,typescript,13393,308379,9636,24163,30754
2016,viml,32772,742215,52380,10144,14389
2019,actionscript,1130,5289,467,257,549
2010,powershell,29,505,50,5,6
2016,groovy,19560,199076,10904,13490,17981
2009,c,5557,1138650,21683,,692
2009,lua,675,22900,518,,8
2007,java,,467812,5162,,66
2011,shell,15508,393403,15140,2631,3116
2018,tex,64854,568386,36057,16004,22305
2007,c#,,48432,915,,
2007,jupyter notebook,,21,2,,
2010,visual basic,283,5201,162,1,1
2011,batchfile,23,1524,103,69,32
2012,cmake,78,6308,386,78,119
2014,julia,3666,76275,1587,5789,7755
2018,makefile,72135,612120,31111,42756,48317
2009,erlang,988,11978,517,,89
2011,vim script,84,1062,138,,
2018,emacs lisp,16687,325256,14418,8203,12726
2018,java,2079824,13170701,732465,728533,929695
2019,css,301934,3350687,238879,128233,174793
2016,julia,7417,152312,2614,12874,16830
2016,swift,162506,1051262,65515,53005,68861
2018,powershell,52262,596016,23366,44655,56470
